id,countyId,cityId,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,yearBuilt,streetAddress,zipcode,longitude,latitude,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
30576-76598052,97020,14139,0,0,Price change,7/6/2021,389000,162,Tiger,1983,445 Joe Davis Rd,30576,-83.42405701,34.85877991,2396,2396,Acres,4,4,2396,0,0,0,One,0,0,0,0,SINGLE_FAMILY,Rabun County
30576-2070477386,97021,14139,0,0,Listed for sale,6/1/2021,450000,196,Tiger,1983,393 Potomac Dr,30576,-83.42977905,34.82626343,2300,2300,Acres,3,5,2300,0,0,0,One and One Half,1,0,0,0,SINGLE_FAMILY,Rabun County
30576-2145275438,97022,14139,0,0,Listed for sale,4/21/2021,600000,0,Tiger,2007,221 Frontier Rd,30576,-83.49169922,34.84707642,0,0,Acres,2,3,0,1,0,1,One,1,1,0,0,SINGLE_FAMILY,Rabun County
30576-110819085,97023,14139,0,0,Listed for sale,5/22/2021,292000,118,Tiger,1988,342 Ritchie Rd,30576,-83.50107574,34.82867813,2465,2465,Acres,2,2,2465,1,0,1,One,0,0,0,0,SINGLE_FAMILY,Rabun County
30576-2077571095,97024,14139,0,0,Price change,1/5/2021,595000,192,Tiger,1986,108 Plainsman Ln #22,30576,-83.4180069,34.85843658,3098,3098,Acres,4,5,3098,1,0,1,Two,0,0,0,0,SINGLE_FAMILY,Rabun County
30576-2076564124,97025,14139,0,0,Listed for sale,1/13/2021,1450000,0,Tiger,0,2592 Old 441 Hwy S #441,30576,-83.43006134,34.85466766,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30428-2071100288,97106,24888,0,0,Price change,7/8/2021,125000,0,Glenwood,1920,17 N 4th St,30428,-82.67489624,32.18341446,0,0,Acres,2,3,0,0,0,0,One,0,0,0,0,SINGLE_FAMILY,Wheeler County
30428-76474756,97107,24888,0,0,Price change,6/29/2021,205500,0,Glenwood,1988,541 Morton Dr,30428,-82.7831192,32.38677216,0,0,Acres,4,3,0,1,0,1,Three Or More,0,0,0,0,SINGLE_FAMILY,Laurens County
30428-2086517984,97108,26020,0,0,Price change,1/2/2021,84999,0,Glenwood,1991,217 Cherokee Rd,30428,-82.62057495,32.06584549,0,0,sqft,1,3,0,0,0,0,One and One Half,1,0,0,0,SINGLE_FAMILY,Wheeler County
30575-296676198,97576,0,0,0,Listed for sale,11/20/2019,509100,0,Talmo,0,1535 Banyon Creek Dr,30575,-83.70677948,34.2111969,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Jackson County
30575-14880558,97577,24822,0,0,Listed for sale,12/5/2017,1960000,0,Talmo,0,4109 Fuller Rd,30575,-83.73294067,34.20260239,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Hall County
30575-221929193,97578,0,0,0,Listed for sale,7/10/2021,350000,194,Talmo,2016,500 Cedar Hollow Dr,30575,-83.72647858,34.19638443,1804,1804,Acres,2,3,1804,1,2,1,One,0,0,0,0,SINGLE_FAMILY,Jackson County
30901-14953025,98481,10210,0,0,Listed for sale,6/16/2021,290000,94,Augusta,1876,508 Walker St,30901,-81.96141815,33.46860886,3089,3089,Acres,2,3,3089,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30901-14957192,98482,10210,0,0,Listed for sale,7/12/2021,25000,18,Augusta,1965,1679 Luckey St,30901,-81.99681854,33.45578384,1400,1400,sqft,2,3,1400,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30901-14948282,98483,10210,0,0,Price change,7/9/2021,189000,53,Augusta,1881,1223 Greene St,30901,-81.97464752,33.47655869,3593,3593,sqft,2,3,3593,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30901-14959661,98484,10210,0,0,Listed for sale,7/8/2021,105000,101,Augusta,1952,111 Pollard Dr,30901,-81.93626404,33.46369934,1036,1036,Acres,1,3,1036,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30901-14959437,98485,10210,0,0,Listed for sale,7/7/2021,99900,53,Augusta,1964,708 Brunswick Ave,30901,-81.94462585,33.46021271,1880,1880,sqft,2,4,1880,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30901-14957086,98486,10210,0,0,Listed for sale,7/7/2021,52500,57,Augusta,1949,1628 Carpenter St,30901,-81.99430847,33.45739365,921,921,sqft,1,2,921,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30904-14946709,98487,10210,0,0,Listed for sale,7/7/2021,99900,71,Augusta,1946,2033 Telfair St,30904,-82.00192261,33.48418427,1404,1404,sqft,3,3,1404,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30901-81522177,98488,10210,0,0,Listed for sale,7/6/2021,139900,112,Augusta,2006,340 Bay St,30901,-81.95410156,33.47280121,1250,1250,sqft,3,2,1250,0,0,0,Two,0,0,0,0,TOWNHOUSE,Richmond County
30904-14947873,98489,10210,0,0,Listed for sale,7/6/2021,75000,91,Augusta,1953,538 1/2 Bohler Ave,30904,-81.99105072,33.4797821,826,826,sqft,1,2,826,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30901-14959460,98490,10210,0,0,Listed for sale,6/13/2021,74900,80,Augusta,1955,412 Rachael St,30901,-81.9449234,33.45904541,936,936,sqft,1,3,936,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30904-14947078,98492,10210,0,0,Listed for sale,6/30/2021,7500,0,Augusta,0,201 Tuttle St,30904,-81.99160767,33.48339081,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Richmond County
30904-98527786,98493,10210,0,0,Listed for sale,6/30/2021,15000,0,Augusta,0,1832 Hicks St,30904,-81.99617004,33.48219681,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Richmond County
30901-14958083,98494,10210,0,0,Listed for sale,6/18/2021,57900,42,Augusta,1921,1307 10th St,30901,-81.97746277,33.46239853,1379,1379,sqft,1,3,1379,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30904-14951835,98495,10210,0,0,Listed for sale,7/10/2021,96228,99,Augusta,1955,1801 Lokey St,30904,-82.00385284,33.46447372,972,972,sqft,2,2,972,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30904-2100058906,98496,10210,0,0,Listed for sale,6/18/2021,159900,93,Augusta,1921,1620 Central Ave,30904,-81.99876404,33.46808243,1716,1716,sqft,3,0,1716,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30904-14947766,98497,10210,0,0,Price change,7/12/2021,59900,48,Augusta,1906,1744 Walker St,30904,-81.99479675,33.47999573,1249,1249,sqft,1,2,1249,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Richmond County
30441-2078671041,98936,0,0,0,Listed for sale,7/15/2020,269000,0,Midville,0,0 Cherokee Cir,30441,-82.21865082,32.73225403,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Emanuel County
30441-2103155521,98937,0,0,0,Price change,7/15/2020,189000,0,Midville,0,0 Lawrence Sherrod Rd,30441,-82.21656799,32.7310524,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Emanuel County
30441-2080426885,98938,0,0,0,Listing removed,7/10/2021,20000,0,Midville,0,0 Rock Landing Rd,30441,-82.20870972,32.84334946,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Burke County
30441-2102554747,98939,0,0,0,Listing removed,7/10/2021,23850,0,Midville,0,13 River Lndg,30441,-82.32216644,32.80836105,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Emanuel County
30441-2070096578,98940,19361,0,0,Listed for sale,6/17/2021,159900,175,Midville,2006,LOT 29 29 The River Lndg,30441,-82.24376678,32.81546402,912,912,Acres,1,2,0,0,0,1,0,0,0,0,0,SINGLE_FAMILY,Burke County
30441-69842902,98941,19361,0,0,Listed for sale,3/15/2021,99000,93,Midville,1965,100 Mary St,30441,-82.22839355,32.82035065,1059,1059,Acres,2,3,1059,0,0,0,One,0,0,0,0,SINGLE_FAMILY,Burke County
30441-2077385806,98942,19361,0,0,Listed for sale,6/3/2021,69900,0,Midville,1900,147 N Jones St,30441,-82.23461914,32.82037354,0,0,Acres,2,5,0,1,0,0,Two,0,0,0,0,SINGLE_FAMILY,Burke County
30441-117942524,98943,0,0,0,Listed for sale,6/22/2020,350000,0,Midville,1906,1643 Wadley Coleman Lake Rd,30441,-82.27388763,32.80958939,0,0,Acres,4,5,0,0,0,0,Two,0,0,0,0,SINGLE_FAMILY,Emanuel County
31041-76518191,98944,5258,0,0,Price change,5/4/2021,67000,0,Ideal,0,1007 Brooks Rd,31041,-84.19436646,32.36880493,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Macon County
31041-76518193,98945,5258,0,0,Price change,7/2/2021,12000,0,Ideal,0,1031 Brooks Rd,31041,-84.18901825,32.36978912,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Macon County
31041-76518194,98946,5258,0,0,Price change,6/27/2021,85000,0,Ideal,0,1035 Brooks Rd,31041,-84.19595337,32.3690033,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Macon County
31041-2071062209,98947,5258,0,0,Listed for sale,5/11/2021,24000,0,Ideal,0,0 Brooks Rd,31041,-84.19709015,32.37268829,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Macon County
30720-69410321,99658,38130,0,0,Listed for sale,7/13/2021,315000,189,Dalton,1974,1910 Shields Rd,30720,-84.99482727,34.75670624,1665,1665,Acres,3,4,1665,1,0,0,One,1,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69402048,99659,38130,0,0,Listed for sale,7/12/2021,499000,101,Dalton,1996,2116 Chatham,30720,-84.99499512,34.81078339,4918,4918,Acres,5,5,0,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69410494,99660,38130,0,0,Listed for sale,7/12/2021,965000,144,Dalton,1994,809 Battlefield Park Dr,30720,-85.01626587,34.75970459,6691,6691,Acres,5,5,6691,1,2,1,Two,1,0,0,0,SINGLE_FAMILY,Whitfield County
30720-2069633892,99661,38130,0,0,Listed for sale,7/9/2021,157500,139,Dalton,2005,1087 Helton St,30720,-84.97966766,34.78417587,1136,1136,sqft,2,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-84680916,99662,38130,0,0,Price change,7/9/2021,157500,139,Dalton,2005,1083 Helton St,30720,-84.97954559,34.78417206,1136,1136,sqft,2,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-2069667686,99663,38130,0,0,Listed for sale,7/8/2021,155000,0,Dalton,2001,2206-12 Old Ivy Way,30720,-85.00382996,34.79104614,0,0,sqft,2,2,0,0,0,0,0,0,0,0,0,CONDO,Whitfield County
30720-72309313,99664,38130,0,0,Listed for sale,7/8/2021,163000,121,Dalton,2005,200 W Park St,30720,-84.96822357,34.78627396,1344,1344,sqft,2,3,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69414049,99665,38130,0,0,Listed for sale,7/7/2021,299000,100,Dalton,1970,510 Dalewood Dr,30720,-84.99009705,34.71464539,3000,3000,Acres,2,3,0,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-2146944617,99666,38130,0,0,Listed for sale,7/6/2021,220000,95,Dalton,1996,1936 Crow Valley Rd NW,30720,-84.99974823,34.81872177,2320,2320,Acres,3,3,2320,1,0,0,One,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69410610,99667,38130,0,0,Listed for sale,7/1/2021,850000,97,Dalton,1984,1706 Habersham Way,30720,-84.99905396,34.74910736,8740,8740,Acres,6,6,0,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69396137,99668,38130,0,0,Price change,7/13/2021,320000,107,Dalton,1997,444 Palomino Dr,30720,-84.98703003,34.88702011,3000,3000,Acres,3,5,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69403100,99669,38130,0,0,Listed for sale,6/29/2021,185000,110,Dalton,2003,1535 Ashton Woods Way,30720,-85.00228882,34.80260849,1686,1686,sqft,2,2,0,1,0,0,0,1,0,0,0,CONDO,Whitfield County
30720-69400091,99670,38130,0,0,Listed for sale,6/29/2021,106900,128,Dalton,1962,413 Caprice Rd,30720,-84.97590637,34.8250885,838,838,Acres,1,2,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69407877,99671,38130,0,0,Listed for sale,6/28/2021,480000,105,Dalton,1968,123 Lisa Ln,30720,-85.00016022,34.77536774,4568,4568,Acres,5,5,4568,1,3,1,Two,0,1,0,0,SINGLE_FAMILY,Whitfield County
30720-243204205,99672,38130,0,0,Listed for sale,6/28/2021,468000,149,Dalton,2021,1500 Covie Rdg,30720,-84.99108124,34.79040909,3134,3134,Acres,2,4,0,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69409947,99673,38130,0,0,Listed for sale,6/28/2021,239000,119,Dalton,1958,1101 Lakemont Dr,30720,-84.98265076,34.75628281,2008,2008,Acres,2,3,0,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69413309,99674,38130,0,0,Listed for sale,6/25/2021,325000,127,Dalton,1969,607 Foster Rd,30720,-84.9894104,34.73174667,2562,2562,Acres,2,4,0,1,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-2069962281,99675,38130,0,0,Listed for sale,6/24/2021,130000,169,Dalton,1960,149 Lower Dug Gap Rd SW,30720,-84.98197937,34.71985626,768,768,Acres,1,2,768,0,0,0,One,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-2069963064,99676,38130,0,0,Listed for sale,6/24/2021,130000,130,Dalton,1960,149 Lower Dug Gap Rd,30720,-84.98022461,34.72053528,1000,1000,Acres,1,2,0,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Whitfield County
30720-69413414,99677,38130,0,0,Price change,6/29/2021,375000,158,Dalton,1974,1920 Sourwood Dr,30720,-85.00762939,34.73075485,2366,2366,Acres,2,3,0,1,0,0,0,0,1,0,0,SINGLE_FAMILY,Whitfield County
